SD;MO;SC;SF;FC;Longname(german);Longname(english)
SD_ElecSply;MO_HvbSply;SC_HvbCtrl;SF_HvbCtrlSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_ElecSply;MO_MvLvCnvn;SC_MvLvCnvn;SF_MvLvCnvnSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_ElecSply;MO_MvbSply;SC_MvbStorg;SF_MvbStorgSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_ElecSply;MO_MvbSply;SC_MvbGen;SF_MvbGenSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_ElecSply;MO_MvbSply;SC_MvbChrgr;SF_MvbChrgrSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_ElecSply;MO_MvbSply;SC_MvbDistbn;SF_MvbDistbnSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_ElecSply;MO_MvbSply;SC_MvbCtrl;SF_MvbCtrlSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_ElecSply;MO_MvHvCnvn;SC_CnvnMvHv;SF_CnvnMvHvSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_ElecSply;MO_LvbSply;SC_LvbStorg;SF_LvbStorgSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_ElecSply;MO_LvbSply;SC_LvbGen;SF_LvbGenSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_ElecSply;MO_LvbSply;SC_LvbChrgr;SF_LvbChrgrSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_ElecSply;MO_LvbSply;SC_LvbDistbn;SF_LvbDistbnSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_ElecSply;MO_LvbSply;SC_LvbCtrl;SF_LvbCtrlSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_ElecSply;MO_ElecEgyMngt;SC_ElecEgyCrtl;SF_ElecEgyCrtlSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_PtCoorn;MO_PtCtrl;SC_EngSpdCtrl;SF_EngSpdCtrlSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_PtCoorn;MO_PtCtrl;SC_EngSpdCtrl;SF_EngSpdCtrlSwDsgn;EISGov_Axispoints;Stützstellen für den Drehzahlregler;Engine-Interval-Speed Governor
SD_PtCoorn;MO_PtCtrl;SC_EngSpdCtrl;SF_EngSpdCtrlSwDsgn;EISGov_Global;EISGov globale Daten;EisGov global Definition
SD_PtCoorn;MO_PtCtrl;SC_EngSpdCtrl;SF_EngSpdCtrlSwDsgn;LIGov_Adap;Adapter für Funktionsgruppe LIGov;Adapter for Function Group LIGov
SD_PtCoorn;MO_PtCtrl;SC_EngSpdCtrl;SF_EngSpdCtrlSwDsgn;SpdGov_Global;Speed Governor globale Daten;Speed Governor global Definition
SD_PtCoorn;MO_PtCtrl;SC_ActvSurgeDampr;SF_ActvSurgeDamprSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_PtCoorn;MO_PtCtrl;SC_ActvSurgeDampr;SF_ActvSurgeDamprSwDsgn;ASD_Axispoints;Stützstellen für den Lastschlagdämpfer;Axispoints for ASD
SD_PtCoorn;MO_PtCtrl;SC_ActvSurgeDampr;SF_ActvSurgeDamprSwDsgn;ASD_Lib;Funktionsbibliothek für den Aktiven Ruckeldämpfer;Active Surge Damper - Library
SD_PtCoorn;MO_PtCtrl;SC_PtProtn;SF_PtProtnSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_PtCoorn;MO_TqCoorn;SC_TqCoornPTr;SF_TqCoornPTrSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_PtCoorn;MO_TqCoorn;SC_TqCoornPTr;SF_TqCoornPTrSwDsgn;PT2ME;Interface Adapter PT to MED 7/9;Interface Adapter PT to MED 7/9
SD_PtCoorn;MO_TqCoorn;SC_TqCoornPTr;SF_TqCoornPTrSwDsgn;PT_Axispoints;definiert die Stützstellen für PT;defines the supporting points for PT
SD_CmbDrv;MO_CmbCtrl;SC_TqCoornEng;SF_TqCoornEngSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_CmbDrv;MO_CmbCtrl;SC_TqLimnEng;SF_TqLimnEngSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_CmbDrv;MO_CmbCtrl;SC_TqLimnEng;SF_TqLimnEngSwDsgn;EngDem_Axispoints;Stützstellen Motoranforderungen;Engine Demand Axispoints
SD_CmbDrv;MO_CmbCtrl;SC_TqMdlEng;SF_TqMdlEngSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_CmbDrv;MO_CmbCtrl;SC_TqMdlEng;SF_TqMdlEngSwDsgn;ETSPTH2ME;Schnittstellenadapter ETSPth zu ME;Interface adapter ETSPth to ME
SD_CmbDrv;MO_CmbCtrl;SC_TqMdlEng;SF_TqMdlEngSwDsgn;TCE_Axispoints;Stützstellen TCE;Axispoints TCE
SD_CmbDrv;MO_CmbCtrl;SC_TqMdlEng;SF_TqMdlEngSwDsgn;TCE_GlbDef;Globale Definitionen für Momentenkoordination Motor;Global definitions for torque coordination engine
SD_CmbDrv;MO_CmbCtrl;SC_TqMdlEng;SF_TqMdlEngSwDsgn;TME_AdpLcyIa;SW-Adapter Momentenmodell Motor: Abbildung aussterbende auf gültige Schnittstellenelemente und umgekehrt - Zündwinkel;SW Adapter Torque Model Engine: Mapping Legacy to Valid Interface Elements and Vice Versa - Ignition angle
SD_CmbDrv;MO_CmbCtrl;SC_TqMdlEng;SF_TqMdlEngSwDsgn;TME_Adpr;Adapter für das Momentenmodell;Adapter for Torque Model
SD_CmbDrv;MO_CmbCtrl;SC_TqMdlEng;SF_TqMdlEngSwDsgn;TME_Axispoints;Stützstellen TME;Axispoints TME
SD_CmbDrv;MO_CmbCtrl;SC_TqMdlEng;SF_TqMdlEngSwDsgn;TME_GlbDef;Globale Definitionen für Momentenmodell Motor;Global definitions for torque model engine
SD_CmbDrv;MO_CmbCtrl;SC_TqMdlEng;SF_TqMdlEngSwDsgn;TME_SrvLib;Servicebibliothek TME;Service Library TME
SD_CmbDrv;MO_CmbCtrl;SC_TqMdlEng;SF_TqMdlEngSwDsgn;TME_StdIfLib;Standardschnittstellenbibliothek Momentenmodell;Standard Interface Library for Torque Model
SD_CmbDrv;MO_CmbCtrl;SC_TqMdlEng;SF_TqMdlEngSwDsgn;TMO2ETS;Schnittstellenadapter Momentenmodell (TMO) zu ETS;Interface adapter Torque Model (TMO) to ETS
SD_CmbDrv;MO_CmbCtrl;SC_TqMdlEng;SF_TqMdlEngSwDsgn;TrqMod2ME;Ausgangsadapter der MF TrqMod für ME(D) 17;MF interface adapter ETS to ME(D)17
SD_CmbDrv;MO_CmbCtrl;SC_EngCoorn;SF_EngCoornSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_CmbDrv;MO_CmbCtrl;SC_EngCoorn;SF_EngCoornSwDsgn;CoEng_Axispoints;Stützstellen CoEng;Axispoints CoEng
SD_CmbDrv;MO_CmbCtrl;SC_EngCoorn;SF_EngCoornSwDsgn;CoEng_GlbDef;Globale Definitionen in CoEng;Global definitions in CoEng
SD_CmbDrv;MO_CmbCtrl;SC_EngCoorn;SF_EngCoornSwDsgn;CoEng_StAdpr;Adapter für zusätzliche Statusinformationen in CoEng;Adapter for additional informations about CoEng status
SD_CmbDrv;MO_CmbCtrl;SC_EngCoorn;SF_EngCoornSwDsgn;CoEOM_Co;Betriebsartenkoordinator;Coordinator Engine Operating Modes
SD_CmbDrv;MO_CmbCtrl;SC_EngCoorn;SF_EngCoornSwDsgn;CoEOM_Conf;Konfiguration CoEOM;Configuration CoEOM
SD_CmbDrv;MO_CmbCtrl;SC_EngStrt;SF_EngStrtSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_CmbDrv;MO_CmbCtrl;SC_EngStrt;SF_EngStrtSwDsgn;EngStrt_GlbDef;Globale Definitionen in EngStrt;Global definitions in EngStrt
SD_CmbDrv;MO_CmbCtrl;SC_EngStrt;SF_EngStrtSwDsgn;EngStrt_Vld2Lcy;Schnittstellenadapter BC EngStrt zu Altsoftware;interface adapter BC EngStrt to old software
SD_CmbDrv;MO_CmbCtrl;SC_EngStrt;SF_EngStrtSwDsgn;MED2CES;Schnittstellenadapter MED zu CES;Interface adapter from MED to CES
SD_CmbDrv;MO_CylChrg;SC_AirSigDetn;SF_AirSigDetnSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_CmbDrv;MO_CylChrg;SC_AirSigDetn;SF_AirSigDetnSwDsgn;AirDvP_Adpr;Adapter für BC AirDvP;Adapter for BC AirDvP
SD_CmbDrv;MO_CylChrg;SC_AirSigDetn;SF_AirSigDetnSwDsgn;AirLib_PMon;Diagnose Drucksensoren im Luftsystem durch Drucksensorquervergleich;Diagnosis of pressure sensors in airsystem basing on pressure signal cross check
SD_CmbDrv;MO_CylChrg;SC_AirSigDetn;SF_AirSigDetnSwDsgn;AirLib_TMon;Plausibilitätsprüfung des Temperatursensors;Plausibilitätsprüfung des Temperatursensors
SD_CmbDrv;MO_CylChrg;SC_AirChrgDetrm;SF_AirChrgDetrmSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_CmbDrv;MO_CylChrg;SC_AirChrgDetrm;SF_AirChrgDetrmSwDsgn;AirMod_If;Schnittstellenmodul - Anteil AirMod;Interface module for AirMod
SD_CmbDrv;MO_CylChrg;SC_AirChrgDetrm;SF_AirChrgDetrmSwDsgn;ASMod_AxisPoints;Stützstellen Luftsystemmodell;Axis point definitions of the air system model
SD_CmbDrv;MO_CylChrg;SC_AirChrgDetrm;SF_AirChrgDetrmSwDsgn;ASMod_AxispointsCust;Kundenspezifische Stützstellen Luftsystemmodell;Customer specific axis point definitions of the air system model
SD_CmbDrv;MO_CylChrg;SC_AirChrgDetrm;SF_AirChrgDetrmSwDsgn;ASMod_GlbDef;Globale Definitionen Luftsystemmodell;Global definitions air system model
SD_CmbDrv;MO_CylChrg;SC_AirChrgDetrm;SF_AirChrgDetrmSwDsgn;CrCsV_AxisPoints;Axispoints für Kurbelgehäuseentlüftung;Axispoints for Crankshaft ventilation
SD_CmbDrv;MO_CylChrg;SC_ChrgCtrlEgRecirc;SF_ChrgCtrlEgRecircSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_CmbDrv;MO_CylChrg;SC_BoostPCtrl;SF_BoostPCtrlSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_CmbDrv;MO_CylChrg;SC_BoostPCtrl;SF_BoostPCtrlSwDsgn;BstCtl_AxisPoints;Stützstellen Ladedruckregelung;Boost Control Axispoints
SD_CmbDrv;MO_CylChrg;SC_BoostPCtrl;SF_BoostPCtrlSwDsgn;BstCtl_GlbDef;Globale Definitionen Ladedruckregelung;Boost Control global definitions
SD_CmbDrv;MO_CylChrg;SC_BoostPCtrl;SF_BoostPCtrlSwDsgn;BstCtl_IfAdpr;Schnittstellen Adapter von internen zu externen und internen Schnittstellen;Interface adapter from internal to external and internal interfaces
SD_CmbDrv;MO_CylChrg;SC_BoostPCtrl;SF_BoostPCtrlSwDsgn;BstCtl_VarSel;Auswahl der Ladedruckregler-Struktur-Variante;Selection of boost pressure control variant
SD_CmbDrv;MO_CylChrg;SC_BoostPCtrl;SF_BoostPCtrlSwDsgn;BstSet_AxisPoints;Stützstellen Ladedruck Sollwert Berechnung;Boost Set Point Calculation Axispoints
SD_CmbDrv;MO_CylChrg;SC_BoostPCtrl;SF_BoostPCtrlSwDsgn;BstSet_GlbDef;Paketlokale Systemkonstantendefinition für BstSet;package system constants for BstSet
SD_CmbDrv;MO_CylChrg;SC_BoostPCtrl;SF_BoostPCtrlSwDsgn;PCR_AxisPoints;Achsendefinition der Kenngrößen für Ladedruckregelung;Axis point definitions for boost pressure control
SD_CmbDrv;MO_CylChrg;SC_BoostPCtrl;SF_BoostPCtrlSwDsgn;PCR_GlbDef;Globale Definitionen Ladedruckregelung;Global definition for boost control
SD_CmbDrv;MO_CylChrg;SC_ChrgCtrlEgRecirc;SF_ChrgCtrlEgRecircSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_CmbDrv;MO_CylChrg;SC_BoostPCtrl;SF_BoostPCtrlSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_CmbDrv;MO_CylChrg;SC_GasExchCtrl;SF_GasExchCtrlSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_CmbDrv;MO_FuInj;SC_FuResvr;SF_FuResvrSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_CmbDrv;MO_FuInj;SC_FuResvr;SF_FuResvrSwDsgn;FlQl_Axispoints;Fuel Quality Stützstellen;Fuel Quality Axispoints
SD_CmbDrv;MO_FuInj;SC_FuResvr;SF_FuResvrSwDsgn;FlQl_GlbDef;FlQl Globale Definitionen innerhalb des Paktes;FlQl Global definitions inside package
SD_CmbDrv;MO_FuInj;SC_FuResvr;SF_FuResvrSwDsgn;FlQl_Out;Fuel Quality detection - Schnittstelle zur Sollwertberechnung;Fuel Quality detection - interface to setpoint calculation
SD_CmbDrv;MO_FuInj;SC_GasFuResrv;SF_GasFuResrvSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_CmbDrv;MO_FuInj;SC_GasFuSply;SF_GasFuSplySwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_CmbDrv;MO_FuInj;SC_GasFuSply;SF_GasFuSplySwDsgn;FUEL2SV;Kraftstoffarterkennung;Fuel mode detection
SD_CmbDrv;MO_FuInj;SC_GasFuSply;SF_GasFuSplySwDsgn;LPGADAP;Adaptor function for LPG system;Adaptor function for LPG system
SD_CmbDrv;MO_FuInj;SC_GasFuSply;SF_GasFuSplySwDsgn;NGDIAGADP;Natural Gas diagnosis interface adapter;Natural Gas diagnosis interface adapter
SD_CmbDrv;MO_FuInj;SC_GasFuSply;SF_GasFuSplySwDsgn;NGS_Adp;Schnittstellen-Adapter für das NGS-Paket;interface adapter for NGS
SD_CmbDrv;MO_FuInj;SC_GasFuSply;SF_GasFuSplySwDsgn;PID6D;PID interface adapter;PID interface adapter
SD_CmbDrv;MO_FuInj;SC_GasFuSply;SF_GasFuSplySwDsgn;SYNNGGDI;Synchronisation BDE CNG;Synchronisation GDI CNG
SD_CmbDrv;MO_FuInj;SC_GasInjMngt;SF_GasInjMngtSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_CmbDrv;MO_FuInj;SC_FuSply;SF_FuSplySwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_CmbDrv;MO_FuInj;SC_FuSply;SF_FuSplySwDsgn;AGK2TFUEL;Schnittstellenadapter Daimler AGK zu FUELTG;Interface adapter Daimler AGK to FUELTG
SD_CmbDrv;MO_FuInj;SC_FuSply;SF_FuSplySwDsgn;CrntCtl_VDSet;Bibliothek Stromregler für Druckregelventil und Zumesseinheit;Current Controller Library for pressure control valve and metering unit
SD_CmbDrv;MO_FuInj;SC_FuSply;SF_FuSplySwDsgn;FlDev_Axispoints;Globale Axispoints für das Paket FlDev;Global  axispoints of package FlDev
SD_CmbDrv;MO_FuInj;SC_FuSply;SF_FuSplySwDsgn;FlSplG_SentAdpr;SENT Schnittstelle für Kraftstoffzulieferung Benzin;SENT Adapter for Fuel Supply System Gasoline
SD_CmbDrv;MO_FuInj;SC_FuSply;SF_FuSplySwDsgn;FlSply_AdpLcy;Abbildung aussterbende auf gültige Schnittstellenelemente in BC FlSply;Mapping Legacy to Valid Interface Elements in BC FlSply
SD_CmbDrv;MO_FuInj;SC_FuSply;SF_FuSplySwDsgn;FlSply_Axispoints;Stützstellendefinitionen für das Paket FlSply;axis point definitions for the FlSply package
SD_CmbDrv;MO_FuInj;SC_FuSply;SF_FuSplySwDsgn;FlSply_CalcCrv;Einarbeitung einer neuen Stützstelle in eine berechnete Kennlinie;Expansion of an already calculated curve by a new distribution point
SD_CmbDrv;MO_FuInj;SC_FuSply;SF_FuSplySwDsgn;FlSply_GlbDef;Globale Systemkonstanten für das Paket FlSply;Global system constants of package FlSply
SD_CmbDrv;MO_FuInj;SC_FuSply;SF_FuSplySwDsgn;FlSply_Lib;Bibliothek für die BC FlSply;Library functions for the BC FlSply
SD_CmbDrv;MO_FuInj;SC_FuSply;SF_FuSplySwDsgn;HDRPSOLADP;Adapter für Kraftstoffdruck Sollwert Hochdrucksystem;adapter of pressure setpoint for high pressure system
SD_CmbDrv;MO_FuInj;SC_FuSply;SF_FuSplySwDsgn;HPSysG_CustAdp;Kundenschnittstelle Hochdrucksystem Benzin- Plattformfunktionen;High Pressure System Adapter for Customer Interfaces in Platform BC: FlSplG
SD_CmbDrv;MO_FuInj;SC_FuSply;SF_FuSplySwDsgn;MED2FPC;Schnittstellenadapter MED zu FPC;Interface adapter MED to FPC
SD_CmbDrv;MO_FuInj;SC_FuSply;SF_FuSplySwDsgn;MED2FSS;Schnittstellenadapter MED zu FSS;Interface adapter MED to FSS
SD_CmbDrv;MO_FuInj;SC_FuSply;SF_FuSplySwDsgn;PSPG_CustAdp;Kundeninterface für Kraftstoffpumpen - Plattformfunktionen;primary supply pump Adapter for Customer Interfaces in platform BC: FlSplG
SD_CmbDrv;MO_FuInj;SC_FuSply;SF_FuSplySwDsgn;RailSp_Axispoints;Stützstellendefinitionen für Raildruck-Sollwerte;Definitions of axispoints for rail pressure setpoints
SD_CmbDrv;MO_FuInj;SC_FuSply;SF_FuSplySwDsgn;Rail_Co;Koordination der Schnittstellen im Rail;Co-ordination of the interfaces for Rail
SD_CmbDrv;MO_FuInj;SC_FuSply;SF_FuSplySwDsgn;Rail_SetPSubs;Externe Raildrucksollwertanforderung;external rail pressure setpoint requirement
SD_CmbDrv;MO_FuInj;SC_InjMngt;SF_InjMngtSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_CmbDrv;MO_FuInj;SC_InjMngt;SF_InjMngtSwDsgn;EnerSp_Axispoints;Stützstellendefinitionen für Ansteuer-Sollwerte;Definitions of axispoints for energizing setpoints
SD_CmbDrv;MO_FuInj;SC_InjMngt;SF_InjMngtSwDsgn;InjCor_Axispoints;InjCor Stützstellen;InjCor Axispoints
SD_CmbDrv;MO_FuInj;SC_InjMngt;SF_InjMngtSwDsgn;InjCor_GlbDef;InjCor globale Definitionen innerhalb des Pakets;InjCor Global Definitions inside package
SD_CmbDrv;MO_FuInj;SC_InjMngt;SF_InjMngtSwDsgn;InjSys_Axispoints;Stützstellendefinitionen für das Einspritzsystem;Definitions of axispoints for injection system
SD_CmbDrv;MO_FuInj;SC_InjMngt;SF_InjMngtSwDsgn;InjSys_Co;Koordination der Schnittstellen;Co-ordination of the interfaces
SD_CmbDrv;MO_FuInj;SC_InjMngt;SF_InjMngtSwDsgn;InjSys_GlbDef;Globale Definitionen für das Einspritzsystem;Global definitions for injection system
SD_CmbDrv;MO_FuInj;SC_InjMngt;SF_InjMngtSwDsgn;InjVlv_Adpr;Adapterfunktionen des Einspritzventils;Adapter function of injection valve
SD_CmbDrv;MO_FuInj;SC_InjMngt;SF_InjMngtSwDsgn;InjVlv_CfgLib;Konfiguration der Komponente InjVlv;Configuration of the InjVlv component
SD_CmbDrv;MO_FuInj;SC_InjMngt;SF_InjMngtSwDsgn;InjVlv_GlbDef;Injection Valve Global Definitions;Injection Valve Global Definitions
SD_CmbDrv;MO_FuInj;SC_InjMngt;SF_InjMngtSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_CmbDrv;MO_FuInj;SC_InjMngt;SF_InjMngtSwDsgn;InjSyG_Axispoints;Stützstellendefinitionen für das Einspritzsystem;Definitions of axispoints for injection system
SD_CmbDrv;MO_FuInj;SC_InjMngt;SF_InjMngtSwDsgn;InjSyG_InjTmngAdpr;Einspritz Timing Adapter;Injection Timing Adapter
SD_CmbDrv;MO_MixIgn;SC_GlwSys;SF_GlwSysSwDsgn;;Sammler Softwaredesign abhängiger FCs des SC;Collector of softwaredesign dependant FCs of SC
SD_CmbDrv;MO_MixIgn;SC_GlwSys;SF_GlwSysSwDsgn;GlwCtl_AxisPoints;Glühsteuerung Axispoints;Glow control axis points
